Country,Year,HAQ_Index,Life_Expectancy,Health_Expenditure,Efficiency_Score
Afghanistan,2005,27.1,58.2468,105.927704,0.2558348663915155
Afghanistan,2010,29.4,60.7018,148.28574,0.19826586157239393
Afghanistan,2015,32.5,62.2695,231.53366,0.1403683593996657
Albania,2005,71.6,76.4266,328.99115,0.21763503364756162
Albania,2010,75.3,78.4141,597.19324,0.1260898398648987
Albania,2015,78.2,78.358,749.18506,0.10438008467493999
Algeria,2005,59.6,72.836,381.94415,0.15604375665918696
Algeria,2010,62.2,74.1435,658.9454,0.0943932532194625
Algeria,2015,63.7,75.1589,874.6069,0.07283272061997224
Andorra,2005,92.6,83.086,2410.904,0.038408829219247216
Andorra,2010,94.0,84.1974,3443.1372,0.027300683806616825
Andorra,2015,94.6,84.5316,3682.2131,0.025691071491761298
Angola,2005,35.6,52.1295,139.08125,0.2559654877993978
Angola,2010,37.7,57.242,178.06584,0.2117194404047402
Angola,2015,40.7,61.042,185.52545,0.21937691028373735
Antigua and Barbuda,2005,62.5,75.3638,1043.4645,0.05989662322005204
Antigua and Barbuda,2010,64.9,76.7013,1140.094,0.05692513073483415
Antigua and Barbuda,2015,66.7,76.8924,1030.2518,0.06474145446773304
Argentina,2005,65.3,75.2306,1041.358,0.06270658121414538
Argentina,2010,66.6,75.68,1692.8896,0.03934101786672917
Argentina,2015,68.4,76.5995,2044.3674,0.033457782588393846
Armenia,2005,60.0,72.0822,317.31317,0.18908764486516585
Armenia,2010,63.7,72.9381,680.6937,0.09358100420203683
Armenia,2015,67.5,74.229,1015.3519,0.06647941467386824
Australia,2005,86.2,81.0923,2825.6545,0.03050620661513996
Australia,2010,88.2,82.0132,3587.3801,0.024586187563453342
Australia,2015,89.8,82.605,4760.5435,0.018863392383663757
Austria,2005,84.2,79.5202,3390.4336,0.02483458162991306
Austria,2010,86.1,80.4634,4312.0576,0.019967265743388956
Austria,2015,88.2,81.1592,5247.5186,0.016807944234823673
Azerbaijan,2005,55.4,67.7103,146.71747,0.3775964784561784
Azerbaijan,2010,59.9,70.3088,384.57742,0.15575537430148653
Azerbaijan,2015,64.5,72.3486,647.5189,0.09961099204980735
Bahrain,2005,71.3,76.1249,1467.9639,0.048570676703970715
Bahrain,2010,77.2,78.5933,1956.4109,0.03946001323137179
Bahrain,2015,79.0,80.3378,2283.3982,0.03459755727231457
Bangladesh,2005,44.3,65.5087,41.581146,1.0653867019441936
Bangladesh,2010,48.7,68.0091,64.83714,0.7511127110171731
Bangladesh,2015,51.7,70.5429,95.70943,0.5401766576187947
